name,label,description,question,image,source,category,hdi_weight,good,select
BM.GSR.CMCP.ZS,Communications computer etc. (% of service imports BoP),Communications computer information and other services (% of service imports BoP) cover international telecommunications and postal and courier services; computer data; news-related service transactions between residents and nonresidents; construction services; royalties and license fees; miscellaneous business professional and technical services; personal cultural and recreational services; and government services not included elsewhere. Services imports refer to economic output of intangible commodities that may be produced transferred and consumed at the same time. International transactions in services are defined by the International Monetary Fund's (IMF) Balance of Payments Manual (1993) but definitions may nevertheless vary among reporting economies.,How important is Communications computer etc. (% of service imports BoP) to you?,0,International Monetary Fund Balance of Payments Statistics Yearbook and data files.,economy,0,1,0
BM.GSR.FCTY.CD,Income payments (BoP current US$),Income payments refer to employee compensation paid to nonresident workers and investment income (payments on direct investment portfolio investment other investments). Income derived from the use of intangible assets is excluded from income and recorded under business services. Data are in current U.S. dollars.,How important is Income payments (BoP current US$) to you?,0,International Monetary Fund Balance of Payments Statistics Yearbook and data files.,economy,0,1,0
BM.GSR.GNFS.CD,Imports of goods and services (BoP current US$),Imports of goods and services comprise all transactions between residents of a country and the rest of the world involving a change of ownership from nonresidents to residents of general merchandise goods sent for processing and repairs nonmonetary gold and services. Data are in current U.S. dollars.,How important is Imports of goods and services (BoP current US$) to you?,0,International Monetary Fund Balance of Payments Statistics Yearbook and data files.,economy,0,1,0
BM.GSR.INSF.ZS,Insurance and financial services (% of service imports BoP),Insurance and financial services (% of service imports BoP) cover various types of insurance provided to nonresidents by resident insurance enterprises and vice versa and financial intermediary and auxiliary services (except those of insurance enterprises and pension funds) exchanged between residents and nonresidents. Services imports refer to economic output of intangible commodities that may be produced transferred and consumed at the same time. International transactions in services are defined by the International Monetary Fund's (IMF) Balance of Payments Manual (1993) but definitions may nevertheless vary among reporting economies.,How important is Insurance and financial services (% of service imports BoP) to you?,0,International Monetary Fund Balance of Payments Statistics Yearbook and data files.,economy,0,1,0
BM.GSR.MRCH.CD,Goods imports (BoP current US$),Goods imports refer to all movable goods (including nonmonetary gold) involved in a change of ownership from nonresidents to residents. The category includes goods previously included in services: goods received or sent for processing and their subsequent export or import in the form of processed goods repairs on goods and goods procured in ports by carriers. Data are in current U.S. dollars.,How important is Goods imports (BoP current US$) to you?,0,International Monetary Fund Balance of Payments Statistics Yearbook and data files.,economy,0,1,0
BM.GSR.NFSV.CD,Service imports (BoP current US$),Services (previously nonfactor services) refer to economic output of intangible commodities that may be produced transferred and consumed at the same time. International transactions in services are defined by the IMF's Balance of Payments Manual (1993) but definitions may nevertheless vary among reporting economies. Data are in current U.S. dollars.,How important is Service imports (BoP current US$) to you?,0,International Monetary Fund Balance of Payments Statistics Yearbook and data files.,economy,0,1,0
BM.GSR.ROYL.CD,Royalty and license fees payments (BoP current US$),Royalty and license fees are payments and receipts between residents and nonresidents for the authorized use of intangible nonproduced nonfinancial assets and proprietary rights (such as patents copyrights trademarks industrial processes and franchises) and for the use through licensing agreements of produced originals of prototypes (such as films and manuscripts). Data are in current U.S. dollars.,How important is Royalty and license fees payments (BoP current US$) to you?,0,International Monetary Fund Balance of Payments Statistics Yearbook and data files.,economy,0,1,0
BM.GSR.TOTL.CD,Imports of goods services and income (BoP current US$),Imports of goods services and income is the sum of goods (merchandise) imports imports of (nonfactor) services and income (factor) payments. Data are in current U.S. dollars.,How important is Imports of goods services and income (BoP current US$) to you?,0,International Monetary Fund Balance of Payments Statistics Yearbook and data files.,economy,0,1,0
BM.GSR.TRAN.ZS,Transport services (% of service imports BoP),Transport (% of service imports BoP) covers all transport services (sea air land internal waterway space and pipeline) performed by residents of one economy for those of another and involving the carriage of passengers the movement of goods (freight) rental of carriers with crew and related support and auxiliary services. Excluded are freight insurance which is included in insurance services; goods procured in ports by nonresident carriers and repairs of transport equipment which are included in goods; repairs of railway facilities harbors and airfield facilities which are included in construction services; and rental of carriers without crew which is included in other services. Services imports refer to economic output of intangible commodities that may be produced transferred and consumed at the same time. International transactions in services are defined by the International Monetary Fund's (IMF) Balance of Payments Manual (1993) but definitions may nevertheless vary among reporting economies.,How important is Transport services (% of service imports BoP) to you?,0,International Monetary Fund Balance of Payments Statistics Yearbook and data files.,economy,0,1,0
BM.GSR.TRVL.ZS,Travel services (% of service imports BoP),Travel (% of service imports BoP) covers goods and services acquired from an economy by travelers for their own use during visits of less than one year in that economy for either business or personal purposes. Services imports refer to economic output of intangible commodities that may be produced transferred and consumed at the same time. International transactions in services are defined by the International Monetary Fund's (IMF) Balance of Payments Manual (1993) but definitions may nevertheless vary among reporting economies.,How important is Travel services (% of service imports BoP) to you?,0,International Monetary Fund Balance of Payments Statistics Yearbook and data files.,economy,0,1,0
