year,series,series_id,region,region_id,value,value_normalized
2001,Students in tertiary education,education1,Abruzzo,ITF1,4.2,0.678436
2002,Students in tertiary education,education1,Abruzzo,ITF1,64.3,0.723890
2003,Students in tertiary education,education1,Abruzzo,ITF1,69.6,0.724409
2004,Students in tertiary education,education1,Abruzzo,ITF1,76.7,0.765727
2005,Students in tertiary education,education1,Abruzzo,ITF1,85.5,0.864444
2006,Students in tertiary education,education1,Abruzzo,ITF1,96,0.914467
2007,Students in tertiary education,education1,Abruzzo,ITF1,92.9,0.864159
2008,Students in tertiary education,education1,Abruzzo,ITF1,91.6,0.885120
2009,Students in tertiary education,education1,Abruzzo,ITF1,94.3,0.917960
2010,Students in tertiary education,education1,Abruzzo,ITF1,89.8,0.208948
2001,Students in tertiary education,education1,Basilicata,ITF5,14,0.148802
2002,Students in tertiary education,education1,Basilicata,ITF5,17.1,0.157263
2003,Students in tertiary education,education1,Basilicata,ITF5,19.4,0.159730
2004,Students in tertiary education,education1,Basilicata,ITF5,22.2,0.174620
2005,Students in tertiary education,education1,Basilicata,ITF5,23,0.170000
2006,Students in tertiary education,education1,Basilicata,ITF5,23.5,0.148891
2007,Students in tertiary education,education1,Basilicata,ITF5,26.3,0.168234
2008,Students in tertiary education,education1,Basilicata,ITF5,27,0.178337
2009,Students in tertiary education,education1,Basilicata,ITF5,35.1,0.261641
2010,Students in tertiary education,education1,Basilicata,ITF5,25.3,0.052963
2003,Students in tertiary education,education1,Bolzano,ITD1,5.2,0.000000
2004,Students in tertiary education,education1,Bolzano,ITD1,6.1,0.000000
2005,Students in tertiary education,education1,Bolzano,ITD1,7.7,0.000000
2006,Students in tertiary education,education1,Bolzano,ITD1,9.4,0.000000
2007,Students in tertiary education,education1,Bolzano,ITD1,10.2,0.000000
2008,Students in tertiary education,education1,Bolzano,ITD1,10.7,0.000000
2009,Students in tertiary education,education1,Bolzano,ITD1,11.5,0.000000
2010,Students in tertiary education,education1,Bolzano,ITD1,9.6,0.014994
2001,Students in tertiary education,education1,Calabria,ITF6,30.7,0.359395
2002,Students in tertiary education,education1,Calabria,ITF6,33.3,0.351741
2003,Students in tertiary education,education1,Calabria,ITF6,36.7,0.354331
