string_id,en,it
category_headline_education,Education,TO BE TRANSLATED
category_headline_employment,Employment,Lavoro
category_headline_environment,Environment,Ambiente
category_headline_gdp,Gross Domestic Product,PIL
category_headline_health,Health,Salute
category_headline_safety,Public Safety,Sicurezza
category_headline_science,Science and Research,Scienze e Ricerca
category_headline_wealth,Wealth and Equality,Ricchezza ed eguaglianza
saveshare_button,Save & Share,TO BE TRANSLATED
saveshare_bar_line1,"When you're done, <strong>share your priorities</strong> with others, let them <strong>explore</strong>",TO BE TRANSLATED
saveshare_bar_line2,Italy's progress</strong> according to your priorities and <strong>define their own</strong>!,TO BE TRANSLATED
map_ranking_tab,Map/Ranking,TO BE TRANSLATED
timeline_tab,Timeline,TO BE TRANSLATED
index_create_headline,What is important in the world you want to live in?,TO BE TRANSLATED
menu_create_index,Create Your Own,TO BE TRANSLATED
menu_browse,Browse All,TO BE TRANSLATED
menu_about,Learn More,TO BE TRANSLATED
logo_tagline,"Progress in Italy, defined by You.",TO BE TRANSLATED
progress_wait_while_loading,Please wait while data is loaded...,TO BE TRANSLATED
language_switch,Language,TO BE TRANSLATED
breadcrumb_home,Yourtopia Home,TO BE TRANSLATED
breadcrumb_about,Learn More,TO BE TRANSLATED
breadcrumb_browse,Browse All,TO BE TRANSLATED
data_source_link_label,Data source,TO BE TRANSLATED
about_headline,Learn more about Yourtopia,TO BE TRANSLATED
about_section1_headline,Overview: How does it work?,
about_section1_text,"Measuring social progress is difficult -- so many variables to consider! And all methodologies for integrating all these variables into tracktable indices are methodologically-skrewd (Stiglitz et al 2009, Ravallion 2010). But the internet community has a strength that previous initiatives lacked: it has you! Users' collective intelligence -- if one could just feasibly bring everyone together -- can solve complex economic issues. Yourtopia is such a collaborative approach. 

Yourtopia ranks the regions of Italy by a mix of social indicators that you -- as the user -- determine yourself. It allows you to see what divides us, where we have progressed and what social issues need addressing. By picking indicators and telling Yourtopia how important they are in relation to each other, you collaborate with all other users in building the world's first composite index of regional progress without arbitrary weighting assumptions.

You furthermore help analyse social progress at a time in which Italy is undergoing substantial reforms and in which it is crucial to keep track of social divides across our country.",TO BE TRANSLATED
about_section2_headline,Need to widen our perspective on progress indicators,TO BE TRANSLATED
about_section2_text,"Given the intensity of the current crisis, and the extent of the structural reforms needed, it is essential to keep track of social imbalances in Italy. This track-keeping is important for Italians in the North and South to make sure inequalities are not getting out of control while reforming, and it is equally important for other Europeans to follow a wider set of Italian social indicators - not exclusively its budget headlines. ",TO BE TRANSLATED
about_section3_headline,No track-keeping across regions without better accessibility,TO BE TRANSLATED
about_section3_text,"We need a wider collaboration, and that means we need trust for cooperation in wider economic policies. But trust will not come without transparency; it must be easier for Italians in the North to understand and trace development in the South, and it is equally important that Northern Europeans can more easily comprehend the situation in which Italy is in, to build mutual understanding on needs and abilities. Open Data has an important role to play in establishing such trust-building transparency and bridge our double North-South divide, for a united way forward.",TO BE TRANSLATED
about_section4_headline,From Open Data to Open Knowledge,TO BE TRANSLATED
about_section4_text,"But opening data is just a first step: to turn openness into transparency, the data needs to be comprehensible. This is not just about visualisation. The sheer number of datapoints in dashboards of key progress indicators is too much for the average user; he needs tools to manage that information and integrate it to see the big picture.",TO BE TRANSLATED
about_section5_headline,Previous initiatives to provide composites all fall into the same trap,TO BE TRANSLATED
